Période;Capteurs;Vitesse;Production;Accumulation
25;sensor_zone_2_1;6.782;1941.3945222222223;286.2627777777778
25;sensor_zone_2_2;3.922;3945.0925888888887;1005.8911555555555
25;sensor_zone_2_3;7.453;2135.6612555555557;286.5687388888889
25;sensor_zone_3_1;8.314;1559.4177222222222;187.55774999999997
25;sensor_zone_3_2;6.854;1985.8411333333331;289.7247277777778
25;sensor_zone_3_3;8.41;1624.58435;193.17218333333335
26;sensor_network;6.499;29543.986344444445;4545.85725
26;sensor_zone_1_1;8.548;1339.0141777777778;156.64489444444445
26;sensor_zone_1_2;7.222;1916.3007944444444;265.3521
26;sensor_zone_1_3;8.487;1469.7797666666668;173.17525555555554
26;sensor_zone_2_1;6.624;2140.6342555555557;323.14432222222223
26;sensor_zone_2_2;3.433;3662.2657777777777;1066.90455
26;sensor_zone_2_3;7.105;2209.316338888889;310.95889444444447
26;sensor_zone_3_1;8.713;1425.9305388888888;163.64740555555557
26;sensor_zone_3_2;6.475;2100.870722222222;324.4373888888889
26;sensor_zone_3_3;8.366;1581.2939666666666;189.00386111111112
27;sensor_network;6.387;29764.58983888889;4659.8522111111115
27;sensor_zone_1_1;8.279;1327.4454222222223;160.33139444444444
27;sensor_zone_1_2;7.289;1804.8154555555557;247.61427222222224
27;sensor_zone_1_3;8.537;1397.0079666666668;163.63331666666667
27;sensor_zone_2_1;6.769;2139.3731333333335;316.0566666666667
27;sensor_zone_2_2;3.365;3864.9668222222226;1148.5282444444445
27;sensor_zone_2_3;7.144;2151.6060222222222;301.18639444444443
27;sensor_zone_3_1;8.92;1337.0981277777778;149.90272777777778
27;sensor_zone_3_2;5.504;1828.8283333333331;332.2565666666667
27;sensor_zone_3_3;8.361;1507.5148166666668;180.30434444444444
28;sensor_network;6.24;29626.270205555556;4747.683644444444
28;sensor_zone_1_1;8.643;1521.9716777777778;176.09144444444445
28;sensor_zone_1_2;7.335;1890.0842833333331;257.66773333333333
28;sensor_zone_1_3;8.803;1414.485222222222;160.68005
28;sensor_zone_2_1;6.717;2001.662661111111;298.00765
28;sensor_zone_2_2;2.981;3696.4556999999995;1239.9341444444444
28;sensor_zone_2_3;7.107;2031.8317333333334;285.89152777777775
28;sensor_zone_3_1;8.827;1332.9800833333334;151.0192111111111
28;sensor_zone_3_2;5.605;2057.9862555555555;367.1459111111111
28;sensor_zone_3_3;8.304;1507.0817666666667;181.48103333333333
29;sensor_network;6.118;29595.90136111111;4837.354833333333
29;sensor_zone_1_1;8.387;1551.3682555555556;184.98265
29;sensor_zone_1_2;7.63;2035.1241222222222;266.7258
29;sensor_zone_1_3;8.938;1492.4014111111112;166.97772222222224
29;sensor_zone_2_1;6.571;1892.6255722222222;288.03107777777774
29;sensor_zone_2_2;2.56;3407.509916666667;1330.9373055555554
29;sensor_zone_2_3;7.474;2039.6512555555557;272.8874055555556
29;sensor_zone_3_1;8.839;1597.8455333333334;180.78054444444444
29;sensor_zone_3_2;5.512;2043.675288888889;370.7946611111111
29;sensor_zone_3_3;8.182;1400.9963055555554;171.22691666666668
30;sensor_network;5.993;29624.09815555555;4943.488355555555
30;sensor_zone_1_1;8.606;1486.4158833333333;172.72507222222222
30;sensor_zone_1_2;7.615;2018.576977777778;265.0929111111111
30;sensor_zone_1_3;8.712;1660.4858444444444;190.60367222222223
30;sensor_zone_2_1;6.203;1939.2657388888888;312.61938888888886
30;sensor_zone_2_2;2.633;3733.0868444444445;1417.66015
30;sensor_zone_2_3;7.547;1927.6661277777778;255.40820000000002
30;sensor_zone_3_1;8.977;1528.7322888888887;170.29944444444445
30;sensor_zone_3_2;5.147;1909.7836222222224;371.04990555555554
30;sensor_zone_3_3;8.115;1357.1073111111111;167.23650555555557
31;sensor_network;5.873;29591.686305555555;5038.74905
31;sensor_zone_1_1;8.912;1385.2534611111112;155.44471666666666
31;sensor_zone_1_2;7.125;2094.83365;294.0194888888889
31;sensor_zone_1_3;8.584;1575.0490166666666;183.48361111111112
31;sensor_zone_2_1;5.783;1984.8013388888887;343.1918388888889
31;sensor_zone_2_2;2.595;3787.1969833333337;1459.1930111111112
31;sensor_zone_2_3;7.287;1925.6997277777778;264.2608611111111
31;sensor_zone_3_1;8.897;1506.9584222222222;169.38044444444444
31;sensor_zone_3_2;5.33;1974.1794555555557;370.3976222222222
31;sensor_zone_3_3;8.349;1541.4184388888889;184.63247777777775
32;sensor_network;5.761;29873.575249999998;5185.726283333333
32;sensor_zone_1_1;8.896;1380.8748444444445;155.2256388888889
32;sensor_zone_1_2;7.036;2167.4398444444446;308.0544555555556
32;sensor_zone_1_3;8.592;1614.8131444444443;187.94946666666667
32;sensor_zone_2_1;5.496;2019.0144722222221;367.37864444444443
32;sensor_zone_2_2;2.332;3516.0976055555557;1507.9719833333334
32;sensor_zone_2_3;7.168;1997.1568444444445;278.62123888888885
32;sensor_zone_3_1;8.868;1481.0923277777779;167.02318333333332
32;sensor_zone_3_2;5.359;1995.8592333333333;372.45491111111113
32;sensor_zone_3_3;8.389;1439.3592888888888;171.5819222222222
33;sensor_network;5.63;29916.89996111111;5314.1819888888895
33;sensor_zone_1_1;8.795;1500.3725222222222;170.59804444444444
33;sensor_zone_1_2;7.07;2232.172888888889;315.7217111111111
33;sensor_zone_1_3;8.599;1619.731277777778;188.35315000000003
33;sensor_zone_2_1;5.161;2030.8636722222222;393.51183888888886
33;sensor_zone_2_2;2.281;3551.7999666666665;1557.4565277777776
33;sensor_zone_2_3;6.888;1946.5052277777777;282.6082333333334
33;sensor_zone_3_1;8.643;1331.302361111111;154.03145555555557
33;sensor_zone_3_2;5.42;2127.5980055555556;392.57680555555555
33;sensor_zone_3_3;8.322;1422.51375;170.94170555555556
34;sensor_network;5.598;30457.985088888887;5440.596927777778
34;sensor_zone_1_1;8.82;1535.9004055555554;174.12995555555557
34;sensor_zone_1_2;6.932;2162.690322222222;312.0075111111111
34;sensor_zone_1_3;8.6;1733.1537666666668;201.52670555555557
34;sensor_zone_2_1;5.088;1995.5568777777778;392.1729388888889
34;sensor_zone_2_2;2.411;3934.0635111111114;1632.000588888889
34;sensor_zone_2_3;6.418;1896.5262722222221;295.4913222222222
34;sensor_zone_3_1;8.494;1426.1743555555554;167.89783333333332
34;sensor_zone_3_2;5.395;2149.8194000000003;398.4605388888889
34;sensor_zone_3_3;8.395;1435.7398444444443;171.01621666666668
35;sensor_network;5.471;30369.10752777778;5550.647938888888
35;sensor_zone_1_1;8.581;1337.7007722222222;155.8836611111111
35;sensor_zone_1_2;6.732;1926.540522222222;286.18218333333334
35;sensor_zone_1_3;8.492;1662.5688444444445;195.7780611111111
35;sensor_zone_2_1;5.031;1876.8238055555555;373.0728111111111
35;sensor_zone_2_2;2.318;3891.6148666666663;1679.1028333333334
35;sensor_zone_2_3;5.942;2151.1481944444445;362.0362111111111
35;sensor_zone_3_1;8.696;1395.9463722222222;160.52036111111113
35;sensor_zone_3_2;5.312;2147.07555;404.1997277777778
35;sensor_zone_3_3;8.869;1590.542661111111;179.33358888888887
36;sensor_network;5.279;29682.253077777776;5623.093627777778
36;sensor_zone_1_1;8.415;1244.2442666666666;147.86855555555556
36;sensor_zone_1_2;6.441;1906.5657388888887;296.00724444444444
36;sensor_zone_1_3;8.446;1483.1068;175.60705555555555
36;sensor_zone_2_1;4.959;2086.6459055555556;420.8104888888889
36;sensor_zone_2_2;2.206;3753.764272222222;1701.2907
36;sensor_zone_2_3;5.824;2375.036466666667;407.7746
36;sensor_zone_3_1;8.857;1403.5434444444445;158.46060555555556
36;sensor_zone_3_2;4.856;2045.7452055555555;421.30538333333334
36;sensor_zone_3_3;8.869;1503.547738888889;169.5222222222222
