Zone_1_1;Zone_1_2;Zone_1_3;Zone_2_1;Zone_2_2;Zone_2_3;Zone_3_1;Zone_3_2;Zone_3_3
T_SN_22_4;T_SN_22_11;T_SN_22_18;T_SN_15_4;T_SN_15_11;T_SN_15_18;T_SN_8_4;T_SN_8_11;T_SN_8_18
T_OE_5_7;T_OE_5_14;T_OE_5_21;T_OE_12_7;T_OE_12_14;T_OE_12_21;T_OE_19_7;T_OE_19_14;T_OE_19_21
T_EO_5_22;T_EO_5_15;T_EO_5_8;T_EO_12_22;T_EO_12_15;T_EO_12_8;T_EO_19_22;T_EO_19_15;T_EO_19_8
T_NS_7_5;T_NS_7_12;T_NS_7_19;T_NS_14_5;T_NS_14_12;T_NS_14_19;T_NS_21_5;T_NS_21_12;T_NS_21_19
T_SN_22_5;T_SN_22_12;T_SN_22_19;T_SN_15_5;T_SN_15_12;T_SN_15_19;T_SN_8_5;T_SN_8_12;T_SN_8_19
T_OE_6_7;T_OE_6_14;T_OE_6_21;T_OE_13_7;T_OE_13_14;T_OE_13_21;T_OE_20_7;T_OE_20_14;T_OE_20_21
T_EO_6_22;T_EO_6_15;T_EO_6_8;T_EO_13_22;T_EO_13_15;T_EO_13_8;T_EO_20_22;T_EO_20_15;T_EO_20_8
T_NS_7_6;T_NS_7_13;T_NS_7_20;T_NS_14_6;T_NS_14_13;T_NS_14_20;T_NS_21_6;T_NS_21_13;T_NS_21_20
T_SN_22_6;T_SN_22_13;T_SN_22_20;T_SN_15_6;T_SN_15_13;T_SN_15_20;T_SN_8_6;T_SN_8_13;T_SN_8_20
T_OE_7_7;T_OE_7_14;T_OE_7_21;T_OE_14_7;T_OE_14_14;T_OE_14_21;T_OE_21_7;T_OE_21_14;T_OE_21_21
T_EO_7_22;T_EO_7_15;T_EO_7_8;T_EO_14_22;T_EO_14_15;T_EO_14_8;T_EO_21_22;T_EO_21_15;T_EO_21_8
T_NS_7_7;T_NS_7_14;T_NS_7_21;T_NS_14_7;T_NS_14_14;T_NS_14_21;T_NS_21_7;T_NS_21_14;T_NS_21_21
T_SN_22_7;T_SN_22_14;T_SN_22_21;T_SN_15_7;T_SN_15_14;T_SN_15_21;T_SN_8_7;T_SN_8_14;T_SN_8_21
T_OE_8_7;T_OE_8_14;T_OE_8_21;T_OE_15_7;T_OE_15_14;T_OE_15_21;T_OE_22_7;T_OE_22_14;T_OE_22_21
T_EO_8_22;T_EO_8_15;T_EO_8_8;T_EO_15_22;T_EO_15_15;T_EO_15_8;T_EO_22_22;T_EO_22_15;T_EO_22_8
T_NS_7_8;T_NS_7_15;T_NS_7_22;T_NS_14_8;T_NS_14_15;T_NS_14_22;T_NS_21_8;T_NS_21_15;T_NS_21_22
T_SN_22_8;T_SN_22_15;T_SN_22_22;T_SN_15_8;T_SN_15_15;T_SN_15_22;T_SN_8_8;T_SN_8_15;T_SN_8_22
T_OE_9_7;T_OE_9_14;T_OE_9_21;T_OE_16_7;T_OE_16_14;T_OE_16_21;T_OE_23_7;T_OE_23_14;T_OE_23_21
T_EO_9_22;T_EO_9_15;T_EO_9_8;T_EO_16_22;T_EO_16_15;T_EO_16_8;T_EO_23_22;T_EO_23_15;T_EO_23_8
T_NS_7_9;T_NS_7_16;T_NS_7_23;T_NS_14_9;T_NS_14_16;T_NS_14_23;T_NS_21_9;T_NS_21_16;T_NS_21_23
T_SN_22_9;T_SN_22_16;T_SN_22_23;T_SN_15_9;T_SN_15_16;T_SN_15_23;T_SN_8_9;T_SN_8_16;T_SN_8_23
T_OE_10_7;T_OE_10_14;T_OE_10_21;T_OE_17_7;T_OE_17_14;T_OE_17_21;T_OE_24_7;T_OE_24_14;T_OE_24_21
